id;kurzform;anzeigeform;langform
1104_6;6;Klassenstufe 6;Klassenstufe 6
1104_1001;1;Klassenstufe 1 / GS f. BS, BF(I, II, 3j), HBF, FS;Klassenstufe 1 / Grundstufe f. BS, BF(I, II, 3j), HBF, FS
1104_4001;4;Klassenstufe 4 / FS III f. BS, FS;Klassenstufe 4 / Fachstufe III f. BS, FS
1104_11001;11;JG 11/ BGY Einf.phase / DBOS+FHRU / FOS;Jahrgangs-/Klassenstufe 11/ BGY Einf.phase / DBOS 2j 1.J / FHRU / FOS an RS+
1104_13001;13;JG 13/  BGY Quali.phase II / BOS II;Jahrgangs-/Klassenstufe 13/ BGY Qualif.phase II / BOS II
1104_9;9;Klassenstufe 9;Klassenstufe 9
1104_54;HJ4;4.Halbjahr (Agrar-Schulen);4.Halbjahr (Agrar-Schulen)
1104_8;8;Klassenstufe 8;Klassenstufe 8
1104_3001;3;Klassenstufe 3 / FS II f. BS, BF(3j), FS;Klassenstufe 3 / Fachstufe II f. BS, BF(3j), FS
1104_12001;12;JG 12/ BGY Quali.phase I / BOS I, DBOS+FHRU / FOS;Jahrgangs-/Klassenstufe 12/ BGY Qualif.phase I / BOS I, DBOS (2j 2.J + 1j) / FHRU / FOS an RS+
1104_10;10;Klassenstufe 10 / (G8) Einf.phase;Klassenstufe 10 / (G8) Einführungsphase
1104_53;HJ3;3.Halbjahr (Agrar-Schulen);3.Halbjahr (Agrar-Schulen)
1104_5001;5;Klassenstufe 5 / FS IV;Klassenstufe 5 / Fachstufe IV
1104_51;HJ1;1.Halbjahr (Agrar-Schulen);1.Halbjahr (Agrar-Schulen)
1104_7;7;Klassenstufe 7;Klassenstufe 7
1104_2001;2;Klassenstufe 2 / FS I f. BS, BF (3j), HBF, FS;Klassenstufe 2 / Fachstufe I f. BS, BF (3j), HBF, FS
1104_52;HJ2;2.Halbjahr (Agrar-Schulen);2.Halbjahr (Agrar-Schulen)
