2c969497/85810650/0185/81c0b2a7/0061;2024/25_BF2T_1;BF II Technik (2023/24);1058_8207000T
2c969497/85810650/0185/81bdeab7/0059;2024/25_BGYTG_11;Gestaltungs- und Medientechnik;1058_8502030
2c969497/85810650/0185/81c3b4da/0067;2024/25_BVJ_1;BVJ (2023/24);1058_8101050.1360
2c969497/85810650/0185/81c3fe0f/0068;2024/25_BVJS_1;BVJ Sprachförderung (2023/24);1058_8101060
2c969497/85810650/0185/81c19f1e/0062;2024/25_DBOS_11;Duale Berufsoberschule (2023/24);1058_8800000
2c969497/85810650/0185/81be3d5e/005b;2024/25_HBFIT_1;Informationstechnik;1058_8204910
2c969497/85810650/0185/81be2780/005a;2024/25_HBFME_1;Mediendesign;1058_8204980
2c969497/85810650/0185/81bdac77/0057;2024/25_BGYTB_11;Bautechnik;1058_8502010
2c969497/8b1ee258/018b/33ac1513/0b3f;2024/25_BGYTI_11;Informationstech.;1058_8502060
2c969497/85810650/0185/81be87af/005d;2024/25_BF1GT_E;Elektrotechnik;1058_8206030
2c969497/85810650/0185/81bf5de5/005e;2024/25_BF1GT_M;Metalltechnik;1058_8206030
2c969497/85810650/0185/81bf9be0/005f;2024/25_BF1GT_NA;Nahrung;1058_8206030
2c969497/85810650/0185/81c30170/0065;2024/25_FSTAPD_1;Produktionsautomatisierung;1058_8606011
2c969497/85810650/0185/81c383cf/0066;2024/25_FSTAPZ_1;Prozessautomatisierung;1058_8606012
2c969497/85810650/0185/81be5dd7/005c;2024/25_HBFGA_1;Gastronomie;1058_8204990
2c969497/85f8ee07/0186/0c422c46/1732;2024/25_BGYTU_11;Umwelttechnik;1058_8502050
2c969497/85810650/0185/81bfd9a6/0060;2024/25_BF1GT_MD;Medien;1058_8206030
abgelehnte_bewerber_60675_BBS;Abgelehnte Bewerber;Abgelehnte Bewerber;
